Time,SWin,PARin,LWin,Tair,Pres,Wspeed,ea,SZA,SAA,NPQwheat,NPQmaize,XNPQwheat,YNPQwheat,XNPQmaize,YNPQmaize
01-Jul-2019 06:15:00,67.4924,0.000148440669543342,334.3278,20.11661,963.033333333333,2.053,29.2780381448335,77.4817988285228,70.1454474037993,0.0806239310380033,0.0221640734468513,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 06:45:00,160.8693,0.000353941285440377,335.1275,20.84197,963.133333333333,2.847,27.2228089323972,72.0280320568741,74.4906564781986,0.217827285529127,0.0718787934930073,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 07:15:00,263.7442,0.00058047981200344,337.1717,21.68375,963.2,2.812,25.791144718589,66.4487088081545,78.8077118718011,0.345670001279075,0.125195271837039,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 07:45:00,365.2007,0.000804019901934216,339.4511,22.3896,963.2,3.057,24.4932048530484,60.7805621936756,83.1812148601967,0.453597169057108,0.186451562812904,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 08:15:00,462.8981,0.00101938452593013,342.172,22.89845,963.1,3.802,22.7032229524933,55.0573546958229,87.7149865683758,0.54990791622129,0.247504695782264,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 08:45:00,550.1275,0.00121176784589663,346.7969,23.88679,962.966666666667,3.571,21.322095062131,49.3146049484014,92.5448842482935,0.617764237163862,0.271730835834264,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 09:15:00,635.2653,0.00139959393319565,351.7917,24.89107,962.866666666667,3.494,19.9057276493796,43.5944782688214,97.8603219609603,0.676385576366649,0.330547380052051,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 09:45:00,721.4988,0.00158986866795005,356.0012,25.86077,962.633333333333,3.589,18.9998600352794,37.9533313298706,103.941321536064,0.715938264843569,0.364313244035009,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 10:15:00,811.9804,0.0017895219076192,359.5671,26.88115,962.4,3.595,17.8074346637725,32.4753690160639,111.222862612401,0.741600751868649,0.450002883013921,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 10:45:00,887.2534,0.00195566122639798,363.4653,27.79481,962.2,3.529,16.2351206410991,27.2991800952192,120.401114969494,0.782389159568587,0.539841338796218,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 11:15:00,939.7376,0.00207153685046602,367.4569,28.86676,961.966666666667,3.677,14.3137764302483,22.6693545272858,132.564847697232,0.805593435853254,0.615439371178678,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 11:45:00,973.2855,0.00214562567807097,376.1018,30.39787,961.733333333333,3.442,12.2807868473928,19.0210667027644,149.117116362622,0.875109648991153,0.676824678284761,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 12:15:00,1002.755,0.00221066173100487,381.0125,31.37856,961.333333333333,2.904,11.5059732628971,17.0208233846452,170.591814657152,0.92348898892992,0.734751059430757,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 12:45:00,1015.604,0.0022389803201584,385.7761,32.376,960.966666666667,3.306,10.6301043994359,17.2620201255242,194.123524607249,0.944986393948722,0.759535709506174,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 13:15:00,1010.824,0.00222835610051743,387.4453,33.11007,960.6,3.29,9.81478446891163,19.6614061055394,214.677466229335,0.938899914350343,0.753350078564519,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 13:45:00,998.4465,0.0022009174474917,388.3357,33.54694,960.266666666667,3.301,8.67863117849915,23.5596861807255,230.221415937837,0.919065592976098,0.816234720402099,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 14:15:00,965.9638,0.00212910223967927,389.7202,34.17887,959.833333333333,2.917,8.09742655202831,28.3302517868244,241.660832701963,0.941541870512908,0.765713497372041,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 14:45:00,934.5553,0.00205960528959651,389.8127,34.57213,959.333333333333,3.493,7.66346720442133,33.5846731315985,250.374440947627,0.912257890619012,0.761847231038221,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 15:15:00,879.5763,0.00193813395721186,389.014,35.2554,958.7,3.603,6.99979532206877,39.1061031289697,257.36239502359,0.90664781316215,0.712678046298335,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 15:45:00,806.9727,0.00177782198712176,385.5715,35.06053,958.4,3.726,6.21590699610028,44.770314562804,263.256269852294,0.881943814783662,0.640417918970778,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 16:15:00,723.7826,0.00159420350681364,384.9389,35.27642,958.166666666667,3.768,6.0408817191776,50.5004446973555,268.452066251596,0.838838612880135,0.571421300773363,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 16:45:00,634.1413,0.00139641846229071,383.1021,35.35474,957.9,3.512,5.58512562410964,56.2439143241991,273.20704336085,0.748483952086568,0.453986566286436,262766.5,4426252.5,262776.5,4426252.5
01-Jul-2019 17:15:00,537.3257,0.00118289659043752,385.1402,35.61848,957.533333333333,2.791,5.8832417364449,61.9604338748086,277.697231944681,0.548205974431182,0.342349234240766,262766.5,4426252.5,262776.5,4426252.5
